place_id,place_name,status,image_url,license_short,license_url,artist,credit,attribution_required,source_file_page,title
1025,Samothrace,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Front_right_view_of_the_Nike_of_Samothrace.jpg/1200px-Front_right_view_of_the_Nike_of_Samothrace.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Livioandronico2013,Own work,True,https://commons.wikimedia.org/wiki/File:Front_right_view_of_the_Nike_of_Samothrace.jpg,File:Front right view of the Nike of Samothrace.jpg
1026,Sansannah,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/A_dictionary_of_the_Bible%3B_dealing_with_its_language%2C_literature%2C_and_contents%2C_including_the_Biblical_theology%3B_%28IA_dictionaryofbibl03hast%29.pdf/page1-1200px-A_dictionary_of_the_Bible%3B_dealing_with_its_language%2C_literature%2C_and_contents%2C_including_the_Biblical_theology%3B_%28IA_dictionaryofbibl03hast%29.pdf.jpg,Public domain,,"Hastings, James, 1852-1922
Selbie, John A. (John Alexander), 1856-1931","Internet Archive identifier: dictionaryofbibl03hast
https://archive.org/download/dictionaryofbibl03hast/dictionaryofbibl03hast.pdf",False,"https://commons.wikimedia.org/wiki/File:A_dictionary_of_the_Bible;_dealing_with_its_language,_literature,_and_contents,_including_the_Biblical_theology;_(IA_dictionaryofbibl03hast).pdf","File:A dictionary of the Bible; dealing with its language, literature, and contents, including the Biblical theology; (IA dictionaryofbibl03hast).pdf"
1027,Sardis,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Aerial_view_of_Sardis_Dam_and_upper_and_lower_lakes%2C_near_Batesville_and_Sardis%2C_Miss._%285529513988%29.jpg/1200px-Aerial_view_of_Sardis_Dam_and_upper_and_lower_lakes%2C_near_Batesville_and_Sardis%2C_Miss._%285529513988%29.jpg,Public domain,,Boston Public Library,"Aerial view of Sardis Dam and upper and lower lakes, near Batesville and Sardis, Miss.",False,"https://commons.wikimedia.org/wiki/File:Aerial_view_of_Sardis_Dam_and_upper_and_lower_lakes,_near_Batesville_and_Sardis,_Miss._(5529513988).jpg","File:Aerial view of Sardis Dam and upper and lower lakes, near Batesville and Sardis, Miss. (5529513988).jpg"
1028,Sarid,ok,https://upload.wikimedia.org/wikipedia/commons/9/9f/Buster_position_-_Sarid_2.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Danny Gershoni,Own work,True,https://commons.wikimedia.org/wiki/File:Buster_position_-_Sarid_2.png,File:Buster position - Sarid 2.png
1029,Chinnereth,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sea_of_Galilee.Lake_Of_Gennersaret._Sea_of_Chinnereth_%28FL45611980_3954745%29.jpg/1200px-Sea_of_Galilee.Lake_Of_Gennersaret._Sea_of_Chinnereth_%28FL45611980_3954745%29.jpg,Public domain,,,This map is available from Eran Laor Cartographic Collection of the National Library of Israel. link to the source:Sea of Galilee.Lake Of Gennersaret. Sea of Chinnereth,False,https://commons.wikimedia.org/wiki/File:Sea_of_Galilee.Lake_Of_Gennersaret._Sea_of_Chinnereth_(FL45611980_3954745).jpg,File:Sea of Galilee.Lake Of Gennersaret. Sea of Chinnereth (FL45611980 3954745).jpg
103,Ashkelon,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ashkelon-9020.jpg/1200px-Ashkelon-9020.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Bukvoed,Own work,True,https://commons.wikimedia.org/wiki/File:Ashkelon-9020.jpg,File:Ashkelon-9020.jpg
1030,Chinneroth,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Biblica_Open_Bible_Map_COLOR_13_John_6.png/1200px-Biblica_Open_Bible_Map_COLOR_13_John_6.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Biblica, Inc, and Biblica Open Study Bible Resources",https://open.bible/resources/,True,https://commons.wikimedia.org/wiki/File:Biblica_Open_Bible_Map_COLOR_13_John_6.png,File:Biblica Open Bible Map COLOR 13 John 6.png
1031,Egypt,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/A_man_and_his_donkey_on_the_way_back_from_the_field_in_Aswan%2C_Egypt_%28edited%29.jpg/1200px-A_man_and_his_donkey_on_the_way_back_from_the_field_in_Aswan%2C_Egypt_%28edited%29.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Original:  Mohamed Hozyen
Derivative work:  Aristeas",This file was derived from:  Me and You.jpg,True,"https://commons.wikimedia.org/wiki/File:A_man_and_his_donkey_on_the_way_back_from_the_field_in_Aswan,_Egypt_(edited).jpg","File:A man and his donkey on the way back from the field in Aswan, Egypt (edited).jpg"
1032,Galilee,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Galilee_Missionary_Baptist_Church.jpg/1200px-Galilee_Missionary_Baptist_Church.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Jim Evans,Own work,True,https://commons.wikimedia.org/wiki/File:Galilee_Missionary_Baptist_Church.jpg,File:Galilee Missionary Baptist Church.jpg
1033,Jazer,ok,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Al_Jazer_filled_red.png/1200px-Al_Jazer_filled_red.png,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ChristianSP124,Own work,False,https://commons.wikimedia.org/wiki/File:Al_Jazer_filled_red.png,File:Al Jazer filled red.png
