"WordID","StrongsID"
"1777","H5175"
"1779","H5377"
"1783","H398"
"1786","H3068"
"1787","H430"
"1788","H559"
"1791","H5175"
"1793","H859"
"1795","H6213"
"1799","H779"
"1802","H929"
"1806","H2416"
"1809","H7704"
"1812","H1512"
"1815","H3212"
"1817","H6083"
"1820","H398"
"1823","H3117"
"1826","H2416"
"1830","H7896"
"1831","H342"
"1836","H802"
"1840","H2233"
"1843","H2233"
"1846","H7779"
"1848","H7218"
"1852","H7779"
"1854","H6119"
"1857","H802"
"1859","H559"
"1862","H7235"
"1863","H7235"
"1865","H6093"
"1868","H2032"
"1870","H6089"
"1874","H3205"
"1875","H1121"
"1878","H8669"
"1883","H376"
"1887","H4910"
"1892","H121"
"1894","H559"
"1898","H8085"
"1901","H6963"
"1904","H802"
"1907","H398"
"1910","H6086"
"1912","H834"
"1915","H6680"
"1916","H559"
"1920","H398"
"1923","H779"
"1926","H127"
"1931","H6093"
"1934","H398"
"1937","H3605"
"1939","H3117"
"1942","H2416"
"1944","H6975"
"1946","H1863"
"1950","H6779"
"1956","H398"
"1958","H6212"
"1961","H7704"
"1964","H2188"
"1967","H639"
"1970","H398"
"1971","H3899"
"1972","H5704"
"1974","H7725"
"1977","H127"
"1984","H3947"
"1986","H6083"
"1987","H859"
"1991","H6083"
"1994","H7725"
"1996","H120"
"1997","H7121"
"1999","H802"
"2000","H8034"
"2001","H2332"
"2006","H517"
"2009","H2416"
"2011","H120"
"2016","H802"
"2019","H3068"
"2020","H430"
"2021","H6213"
"2022","H3801"
"2024","H5785"
"2027","H3847"
"2030","H3068"
"2031","H430"
"2032","H559"
"2033","H2005"
"2035","H120"
"2039","H259"
"2043","H3045"
"2044","H2896"
"2046","H7451"
"2052","H7971"
"2054","H3027"
"2056","H3947"
"2060","H6086"
"2062","H2416"
"2064","H398"
"2066","H2425"
"2068","H5769"
"2071","H3068"
"2072","H430"
"2075","H7971"
"2078","H1588"
"2080","H5731"
"2082","H5647"
"2084","H127"
"2089","H3947"
"2093","H1644"
"2095","H120"
"2098","H7931"
"2101","H6924"
"2104","H1588"
"2106","H5731"
"2107","H3742"
"2110","H3858"
"2111","H2719"
"2115","H2015"
"2117","H8104"
"2119","H1870"
"2122","H6086"
"2124","H2416"
"2126","H120"
"2127","H3045"
"2127","H853"
"2128","H2332"
"2130","H802"
"2133","H2029"
"2135","H3205"
"2135","H853"
"2136","H7014"
"2138","H559"
"2141","H7069"
"2143","H376"
"2144","H854"
"2146","H3068"
"2149","H3254"
"2150","H3205"
"2152","H251"
"2153","H1893"
"2155","H1893"
"2158","H7462"
"2160","H6629"
"2162","H7014"
"2165","H5647"
"2168","H127"
"2171","H7093"
"2173","H3117"
"2179","H7014"
"2180","H935"
"2183","H6529"
"2186","H127"
"2188","H4503"
"2191","H3068"
"2193","H1893"
"2194","H1931"
"2196","H935"
"2199","H1062"
"2202","H6629"
"2206","H2459"
"2210","H3068"
"2212","H8159"
"2214","H1893"
"2218","H4503"
"2221","H7014"
"2225","H4503"
"2229","H8159"
"2231","H7014"
"2233","H3966"
"2234","H2734"
"2237","H6440"
"2238","H5307"
"2241","H3068"
"2242","H559"
"2244","H7014"
"2248","H2734"
"2253","H6440"
"2254","H5307"
"2255","H518"
"2258","H3190"
"2263","H7613"
"2269","H3190"
"2270","H2403"
"2271","H7257"
"2274","H6607"
"2281","H8669"
"2285","H4910"
"2289","H7014"
"2290","H559"
"2291","H413"
"2292","H1893"
"2294","H251"
"2305","H7704"
"2307","H7014"
"2309","H6965"
"2310","H413"
"2311","H1893"
"2313","H251"
"2316","H2026"
"2319","H3068"
"2320","H559"
"2322","H7014"
"2323","H335"
"2325","H1893"
"2327","H251"
"2330","H559"
"2332","H3045"
"2337","H251"
"2338","H8104"
"2341","H559"
"2342","H4100"
"2345","H6213"
"2347","H6963"
"2350","H251"
"2351","H1818"
"2352","H6817"
"2357","H127"
"2362","H779"
"2365","H127"
"2368","H6475"
"2370","H6310"
"2372","H3947"
"2374","H251"
"2375","H1818"
"2378","H3027"
"2379","H3588"
"2381","H5647"
"2383","H127"
"2387","H3254"
"2388","H5414"
"2392","H3581"
"2394","H5128"
"2397","H5110"
"2403","H776"
"2405","H7014"
"2406","H559"
"2409","H3068"
"2411","H5771"
"2413","H1419"
"2417","H5375"
"2423","H1644"
"2425","H3117"
"2428","H6440"
"2431","H127"
"2433","H5921"
"2435","H6440"
"2439","H5641"
"2445","H5128"
"2448","H5110"
"2451","H776"
"2457","H1961"
"2463","H4672"
"2466","H2026"
"2469","H3068"
"2470","H559"
"2473","H3651"
"2475","H2026"
"2476","H7014"
"2480","H5358"
"2483","H7659"
"2486","H3068"
"2487","H7760"
"2489","H226"
"2491","H7014"
"2492","H1115"
"2494","H4672"
"2497","H5221"
"2500","H7014"
"2502","H3318"
"2505","H6440"
"2508","H3068"
"2510","H3427"
"2513","H776"
"2515","H5113"
"2518","H6926"
"2520","H5731"
"2522","H7014"
"2523","H3045"
"2525","H802"
"2528","H2029"
"2530","H3205"
"2531","H2585"
"2534","H1129"
"2536","H5892"
"2538","H7121"
"2540","H8034"
"2543","H5892"
"2546","H8034"
"2549","H1121"
"2550","H2585"
"2553","H2585"
"2555","H3205"
"2556","H5897"
"2558","H5897"
"2559","H3205"
"2560","H4232"
"2562","H4232"
"2563","H3205"
"2564","H4967"
"2566","H4967"
"2567","H3205"
"2568","H3929"
"2570","H3929"
"2571","H3947"
"2574","H8147"
"2575","H802"
"2577","H8034"
"2580","H259"
"2582","H5711"
"2585","H8034"
"2588","H8145"
"2589","H6741"
"2591","H5711"
"2592","H3205"
"2593","H2989"
"2597","H1"
"2601","H3427"
"2603","H168"
"2609","H4735"
"2612","H251"
"2613","H8034"
"2615","H3106"
"2619","H1"
"2624","H8610"
"2626","H3658"
"2628","H5748"
"2630","H6741"
"2633","H3205"
"2634","H8423"
"2636","H3913"
"2639","H2794"
"2641","H5178"
"2643","H1270"
"2646","H269"
"2648","H8423"
"2650","H5279"
"2652","H3929"
"2653","H559"
"2656","H802"
"2657","H5711"
"2659","H6741"
"2660","H8085"
"2662","H6963"
"2664","H802"
"2666","H3929"
"2667","H238"
"2670","H565"
"2674","H2026"
"2676","H376"
"2679","H6482"
"2683","H3206"
"2686","H2250"
"2687","H3588"
"2688","H7014"
"2691","H5358"
"2692","H7659"
"2694","H3929"
"2695","H7657"
"2697","H7651"
"2699","H120"
"2700","H3045"
"2702","H802"
"2703","H5750"
"2706","H3205"
"2708","H1121"
"2710","H7121"
"2712","H8034"
"2713","H8352"
"2715","H430"
"2719","H7896"
"2721","H312"
"2722","H2233"
"2723","H8478"
"2725","H1893"
"2726","H3588"
"2727","H7014"
"2728","H2026"
"2731","H8352"
"2733","H1931"
"2737","H3205"
"2739","H1121"
"2742","H7121"
"2744","H8034"
"2745","H583"
"2748","H2490"
"2750","H7121"
"2753","H8034"
"2756","H3068"
"2757","H2088"
"2760","H5612"
"2763","H8435"
"2765","H121"
"2768","H3117"
"2770","H430"
"2771","H1254"
"2772","H120"
"2775","H1823"
"2777","H430"
"2778","H6213"
"2781","H2145"
"2783","H5347"
"2784","H1254"
"2788","H1288"
"2791","H7121"
"2793","H8034"
"2794","H120"
"2797","H3117"
"2801","H1254"
"2803","H121"
"2804","H2421"
"2806","H3967"
"2808","H7970"
"2809","H8141"
"2811","H3205"
"2817","H1823"
"2820","H6754"
"2822","H7121"
"2824","H8034"
"2825","H8352"
"2828","H3117"
"2830","H121"
"2831","H310"
"2834","H3205"
"2835","H8352"
"2837","H8083"
"2838","H3967"
"2839","H8141"
"2842","H3205"
"2843","H1121"
"2845","H1323"
"2849","H3117"
"2851","H121"
"2852","H2425"
"2854","H8672"
"2855","H8141"
"2856","H3967"
"2857","H7970"
"2858","H8141"
"2861","H4191"
"2863","H8352"
"2864","H2421"
"2866","H8141"
"2867","H3967"
"2868","H2568"
"2869","H8141"
"2871","H3205"
"2872","H583"
"2874","H8352"
"2875","H2421"
"2876","H310"
"2878","H3205"
"2879","H583"
"2880","H8083"
"2881","H8141"
"2882","H3967"
"2883","H7651"
"2884","H8141"
"2886","H3205"
"2887","H1121"
"2889","H1323"
"2893","H3117"
"2895","H8352"
"2897","H8672"
"2898","H8141"
"2899","H3967"
"2900","H6240"
"2900","H8147"
"2901","H8141"
"2904","H4191"
"2906","H583"
"2907","H2421"
"2908","H8673"
"2909","H8141"
"2911","H3205"
"2912","H7018"
"2914","H583"
"2915","H2421"
"2916","H310"
"2918","H3205"
"2919","H7018"
"2920","H8083"
"2921","H8141"
"2922","H3967"
"2923","H2568"
"2923","H6240"
"2924","H8141"
"2926","H3205"
"2927","H1121"
"2929","H1323"
"2933","H3117"
"2935","H583"
"2937","H8672"
"2938","H8141"
"2939","H3967"
"2940","H2568"
"2941","H8141"
"2944","H4191"
"2946","H7018"
"2947","H2421"
"2948","H7657"
"2949","H8141"
"2951","H3205"
"2952","H4111"
"2954","H7018"
"2955","H2421"
"2956","H310"
"2958","H3205"
"2959","H4111"
"2960","H8083"
"2961","H8141"
"2962","H3967"
"2963","H705"
"2964","H8141"
"2966","H3205"
"2967","H1121"
"2969","H1323"
"2973","H3117"
"2975","H7018"
"2977","H8672"
"2978","H8141"
"2979","H3967"
"2980","H6235"
"2981","H8141"
"2984","H4191"
"2986","H4111"
"2987","H2421"
"2988","H8141"
"2989","H8346"
"2990","H2568"
"2991","H8141"
"2993","H3205"
"2994","H3382"
"2996","H4111"
"2997","H2421"
"2998","H310"
"3000","H3205"
"3001","H3382"
"3002","H8083"
"3003","H8141"
"3004","H3967"
"3005","H7970"
"3006","H8141"
"3008","H3205"
"3009","H1121"
"3011","H1323"
"3015","H3117"
"3017","H4111"
"3019","H8083"
"3020","H3967"
"3020","H8141"
"3021","H8673"
"3023","H2568"
"3024","H8141"
"3027","H4191"
"3029","H3382"
"3030","H2421"
"3032","H3967"
"3033","H8141"
"3034","H8346"
"3035","H8147"
"3036","H8141"
"3039","H3205"
"3040","H2585"
"3042","H3382"
"3043","H2421"
"3044","H310"
"3046","H3205"
"3047","H2585"
"3048","H8083"
"3049","H3967"
"3050","H8141"
"3052","H3205"
"3053","H1121"
"3055","H1323"
"3059","H3117"
"3061","H3382"
"3063","H8672"
"3064","H3967"
"3064","H8141"
"3065","H8346"
"3067","H8147"
"3068","H8141"
"3071","H4191"
"3073","H2585"
"3074","H2421"
"3075","H8346"
"3077","H2568"
"3078","H8141"
"3080","H3205"
"3081","H4968"
"3083","H2585"
"3084","H1980"
"3085","H854"
"3086","H430"
"3087","H310"
"3089","H3205"
"3089","H853"
"3090","H4968"
"3091","H7969"
"3092","H3967"
"3093","H8141"
"3095","H3205"
"3096","H1121"
"3098","H1323"
"3102","H3117"
"3104","H2585"
"3106","H7969"
"3107","H3967"
"3107","H8141"
"3108","H8346"
"3110","H2568"
"3111","H8141"
"3113","H2585"
"3114","H1980"
"3116","H430"
"3122","H430"
"3123","H3947"
"3126","H4968"
"3127","H2421"
"3129","H3967"
"3129","H8141"
"3130","H8084"
"3132","H7651"
"3133","H8141"
"3135","H3205"
"3136","H3929"
"3138","H4968"
"3139","H2421"
"3140","H310"
"3142","H3205"
"3143","H3929"
"3144","H7651"
"3145","H3967"
"3145","H8141"
"3146","H8084"
"3148","H8147"
"3149","H8141"
"3151","H3205"
"3152","H1121"
"3154","H1323"
"3158","H3117"
"3160","H4968"
"3162","H8672"
"3163","H3967"
"3163","H8141"
"3164","H8346"
"3166","H8672"
"3167","H8141"
"3170","H4191"
"3172","H3929"
"3173","H2421"
"3175","H3967"
"3175","H8141"
"3176","H8084"
"3178","H8147"
"3179","H8141"
"3181","H3205"
"3183","H1121"
"3186","H7121"
"3188","H8034"
"3189","H5146"
"3190","H559"
"3194","H5162"
"3198","H4639"
"3200","H6093"
"3203","H3027"
"3204","H4480"
"3207","H127"
"3210","H3068"
"3212","H779"
"3214","H3929"
"3215","H2421"
"3216","H310"
"3218","H3205"
"3219","H5146"
"3220","H2568"
"3221","H3967"
"3221","H8141"
"3222","H8673"
"3224","H2568"
"3225","H8141"
"3227","H3205"
"3228","H1121"
"3230","H1323"
"3234","H3117"
"3236","H3929"
"3238","H7651"
"3239","H3967"
"3239","H8141"
"3240","H7657"
"3242","H7651"
"3243","H8141"
"3246","H4191"
"3248","H5146"
"3250","H2568"
"3251","H3967"
"3252","H8141"
"3253","H1121"
"3255","H5146"
"3256","H3205"
"3257","H8035"
"3258","H2526"
"3260","H3315"
"3267","H120"
"3268","H2490"
"3270","H7231"
"3271","H5921"
"3273","H6440"
"3276","H127"
"3278","H1323"
"3280","H3205"
"3285","H1121"
"3287","H430"
"3288","H7200"
"3290","H1323"
"3292","H120"
"3294","H2007"
"3296","H2896"
"3299","H3947"
"3301","H802"
"3306","H977"
"3309","H3068"
"3310","H559"
"3312","H7307"
"3315","H5769"
"3316","H1777"
"3318","H120"
"3322","H1571"
"3324","H1320"
"3324","H7683"
"3327","H3117"
"3331","H3967"
"3333","H6242"
"3334","H8141"
"3337","H5303"
"3340","H776"
"3343","H3117"
"3346","H310"
"3347","H3651"
"3348","H834"
"3350","H1121"
"3352","H430"
"3354","H935"
"3357","H1323"
"3359","H120"
"3362","H3205"
"3367","H1992"
"3370","H1368"
"3374","H5769"
"3375","H582"
"3377","H8034"
"3379","H3068"
"3380","H7200"
"3383","H7451"
"3385","H120"
"3387","H7227"
"3390","H776"
"3394","H3336"
"3397","H4284"
"3400","H3820"
"3402","H7535"
"3403","H7451"
"3404","H3117"
"3407","H5162"
"3409","H3068"
"3413","H6213"
"3414","H120"
"3417","H776"
"3420","H6087"
"3422","H413"
"3424","H3820"
"3427","H3068"
"3428","H559"
"3431","H4229"
"3432","H120"
"3436","H1254"
"3439","H6440"
"3442","H127"
"3444","H120"
"3445","H5704"
"3446","H929"
"3450","H7431"
"3453","H5775"
"3456","H8064"
"3459","H5162"
"3464","H6213"
"3467","H5146"
"3468","H4672"
"3469","H2580"
"3472","H5869"
"3475","H3068"
"3479","H8435"
"3481","H5146"
